Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
1071181,-21.97266,19.53125,1030.27344,-8.30078,-4.39453,1023.92578,-9.27734,-73.24219,1032.71484
1076181,-57.61719,-7.8125,1024.41406,7.8125,-3.90625,1024.90234,-7.8125,-63.96484,1022.94922
1081181,16.11328,5.37109,1023.92578,-1.46484,11.23047,1012.69531,0.0,-57.12891,1005.37109
1086179,-11.23047,-5.85937,1030.76172,-8.78906,-10.25391,1022.46094,-1.46484,-59.57031,1022.94922
1091181,-14.16016,-1.95312,1022.94922,-9.76562,7.32422,1014.64844,-13.18359,-69.33594,1019.53125
1096181,-34.17969,-23.4375,1028.80859,-19.53125,6.34766,1024.41406,-9.76562,-60.05859,1017.57812
1101181,-50.29297,-33.20313,1008.78906,-11.71875,4.39453,1010.25391,-12.69531,-58.59375,1024.41406
1106181,-88.86719,-17.57813,1017.57812,2.44141,1.95312,1020.50781,-10.25391,-65.91797,1019.53125
1111181,-15.625,11.71875,1027.34375,-0.97656,2.44141,1023.4375,-19.53125,-60.05859,1004.39453
1116181,8.78906,20.50781,1016.60156,-13.18359,12.69531,1014.64844,2.44141,-62.01172,1015.625
1121181,-2.92969,35.15625,1017.08984,-19.04297,4.88281,1003.90625,-7.32422,-65.42969,1032.22656
1126181,-14.16016,22.46094,1007.8125,-12.69531,-2.92969,1025.87891,-11.71875,-65.42969,1013.67187
1131181,63.96484,19.04297,1011.71875,-4.88281,2.44141,1015.625,-12.20703,-76.17188,1014.16016
1136181,-2.44141,54.19922,1006.83594,-16.60156,10.74219,1025.87891,-13.18359,-61.52344,1024.90234
1141181,-26.85547,5.85937,1022.46094,1.95312,-1.46484,1029.29688,-3.41797,-59.57031,1015.13672
1146181,-15.625,-0.97656,1030.76172,-10.25391,-24.41406,1024.41406,8.30078,-54.6875,1020.99609
1151181,-1.95312,8.30078,1021.48437,-16.11328,4.39453,1015.13672,-14.16016,-68.84766,1026.85547
1156181,-8.78906,-1.95312,1030.27344,1.46484,2.92969,1020.50781,-5.37109,-67.87109,1030.76172
1161181,-17.08984,16.60156,1021.97266,-8.78906,1.46484,1018.55469,1.95312,-66.89453,1018.55469
